Log, Time, T0, T1, T2
1,4168,17.38,17.87,19.34
2,5168,28.12,16.89,19.34
3,6168,16.89,17.87,31.54
4,7168,17.38,17.87,30.57
5,8168,17.38,29.59,19.34
6,9168,29.10,17.87,27.15
7,10168,29.59,17.87,19.34
8,11168,17.38,29.10,31.05
9,12168,17.38,17.87,30.57
10,13168,28.12,28.61,19.34
11,14168,17.38,29.10,19.34
12,15168,28.12,17.87,29.59
13,16168,17.38,28.61,29.59
14,17168,17.38,28.12,29.59
15,18168,27.64,27.64,19.34
16,19168,27.64,28.12,19.34
17,20168,27.64,17.87,29.59
18,21168,27.64,17.87,29.59
19,22168,17.38,16.89,30.08
20,23168,17.87,28.12,29.59
21,24168,28.61,28.61,19.34
22,25168,17.87,17.87,29.59
23,26168,28.12,17.87,30.08
24,27168,17.87,27.64,19.34
25,28168,17.87,30.57,32.52
26,29168,29.10,17.87,19.82
27,30168,29.10,29.10,19.82
28,31168,17.38,17.87,31.54
29,32168,17.87,29.59,19.82
30,33168,17.87,29.59,19.82
31,34168,29.10,17.87,19.34
32,35168,28.61,17.38,19.34
33,36168,17.87,17.87,32.03
34,37168,18.36,17.87,31.05
35,38168,17.87,26.66,19.82
36,39168,17.87,26.17,28.61
37,40168,17.87,26.66,28.61
38,41168,17.87,17.38,29.10
39,42168,17.87,17.87,28.61
40,43168,17.87,26.17,19.82
41,44168,17.87,26.17,19.82
42,45168,27.15,17.87,20.31
43,46168,27.15,17.87,20.31
44,47168,17.87,15.92,28.61
45,48168,26.66,26.17,20.31
46,49168,17.87,26.66,20.31
47,50168,26.66,17.87,28.61
48,51168,26.66,17.87,20.31
49,52168,17.87,26.17,28.61
50,53168,17.87,17.38,28.61
51,54168,26.66,26.17,20.31
52,55168,18.36,26.17,20.31
53,56168,26.66,17.87,28.61
54,57168,18.36,26.17,29.10
55,58168,18.36,26.17,20.80
56,59168,27.15,26.66,20.80
57,60168,27.15,26.66,20.80
58,61168,27.15,17.38,29.59
59,62168,27.64,17.87,29.59
60,63168,18.85,26.66,29.10
61,64168,26.66,17.38,20.80
62,65168,26.17,26.17,21.29
63,66168,18.85,17.38,29.10
64,67168,26.66,17.38,29.10
65,68168,18.36,26.17,20.31
66,69168,18.85,26.66,30.08
67,70168,27.15,17.87,21.29
68,71168,27.64,26.66,20.80
69,72168,18.85,17.87,30.57
70,73168,18.85,26.17,20.80
71,74168,18.85,27.15,21.29
72,75168,27.64,17.87,21.29
73,76168,27.64,17.87,21.29
74,77168,18.85,17.87,29.59
75,78168,18.85,17.87,29.59
76,79168,18.85,27.15,21.29
77,80168,27.64,17.87,20.80
78,81168,27.15,17.87,21.29
79,82168,18.85,17.87,30.57
80,83168,18.85,18.36,30.57
81,84168,18.85,27.64,21.29
82,85168,18.85,27.15,21.78
83,86168,28.61,17.87,21.29
84,87168,28.61,18.36,21.78
85,88168,18.85,17.87,31.54
86,89168,28.61,28.12,21.78
87,90168,18.85,28.12,21.78
